LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Britton,Dave,PG,22,WSB,2,None,9,2,3,.667,0,0,None,2,3,.667,.667,0,0,None,0,2,2,3,1,0,2,2,4
Brooks,Michael,SF,22,SDC,82,None,2479,488,1018,.479,0,6,.000,488,1012,.482,.479,226,320,.706,210,232,442,208,99,31,163,234,1202
Brown,Fred,SG,32,SEA,78,None,1986,505,1035,.488,23,64,.359,482,971,.496,.499,173,208,.832,53,122,175,233,88,13,131,141,1206
Brown,Lewis,C,25,WSB,2,None,5,0,3,.000,0,0,None,0,3,.000,.000,2,5,.400,1,1,2,0,0,0,1,2,2
Brown,Rickey,C,22,GSW,45,None,580,83,162,.512,0,0,None,83,162,.512,.512,16,21,.762,52,114,166,21,9,14,31,103,182
Bryant,Joe,PF,26,SDC,82,None,2359,379,791,.479,2,15,.133,377,776,.486,.480,193,244,.791,146,294,440,189,72,34,176,264,953
Buckner,Quinn,PG,26,MIL,82,None,2384,471,956,.493,1,6,.167,470,950,.495,.493,149,203,.734,88,210,298,384,197,3,236,271,1092
Burleson,Tom,C,28,ATL,31,None,363,41,99,.414,0,0,None,41,99,.414,.414,20,41,.488,44,50,94,12,8,19,24,73,102
Buse,Don,SG,30,IND,58,None,1095,114,287,.397,19,58,.328,95,229,.415,.430,50,65,.769,19,65,84,140,74,8,38,61,297
Byrnes,Marty,SF,24,DAL,72,None,1360,216,451,.479,9,20,.450,207,431,.480,.489,120,157,.764,74,103,177,113,29,17,61,126,561
Calvin,Mack,PG,33,CLE,21,None,128,13,39,.333,1,5,.200,12,34,.353,.346,25,35,.714,2,10,12,28,5,0,17,13,52
Carr,Austin,SG,32,TOT,47,None,657,87,234,.372,0,7,.000,87,227,.383,.372,34,54,.630,22,39,61,58,15,2,41,53,208
Carr,Austin,SG,32,DAL,8,None,77,7,28,.250,0,0,None,7,28,.250,.250,2,4,.500,4,5,9,9,1,0,9,10,16
Carr,Austin,SG,32,WSB,39,None,580,80,206,.388,0,7,.000,80,199,.402,.388,32,50,.640,18,34,52,49,14,2,32,43,192
Carr,Kenny,PF,25,CLE,81,None,2615,469,918,.511,0,4,.000,469,914,.513,.511,292,409,.714,260,575,835,192,76,42,231,296,1230
Carr,M.L.,SF,30,BOS,41,7,655,97,216,.449,1,14,.071,96,202,.475,.451,53,67,.791,26,57,83,56,30,18,47,74,248
Carroll,Joe Barry,C,22,GSW,82,None,2919,616,1254,.491,0,2,.000,616,1252,.492,.491,315,440,.716,274,485,759,117,50,121,243,313,1547
Carter,Butch,SF,22,LAL,54,None,672,114,247,.462,3,10,.300,111,237,.468,.468,70,95,.737,34,31,65,52,23,1,50,99,301
Carter,Reggie,SG,23,NYK,60,None,536,59,179,.330,0,3,.000,59,176,.335,.330,51,69,.739,30,39,69,76,22,2,38,68,169
Cartwright,Bill,C,23,NYK,82,None,2925,619,1118,.554,0,1,.000,619,1117,.554,.554,408,518,.788,161,452,613,111,48,83,200,259,1646
Catchings,Harvey,PF,29,MIL,77,None,1635,134,300,.447,0,0,None,134,300,.447,.447,59,92,.641,154,319,473,99,33,184,105,284,327
Cheeks,Maurice,PG,24,PHI,81,None,2415,310,581,.534,3,8,.375,307,573,.536,.536,140,178,.787,67,178,245,560,193,39,174,231,763
Chenier,Phil,SG,30,GSW,9,None,82,11,33,.333,1,3,.333,10,30,.333,.348,6,6,1.000,1,7,8,7,0,0,4,10,29
Chones,Jim,PF,31,LAL,82,None,2562,378,751,.503,0,4,.000,378,747,.506,.503,126,193,.653,180,477,657,153,39,96,159,324,882
Collins,Art,SG,26,ATL,29,None,395,35,99,.354,0,2,.000,35,97,.361,.354,24,36,.667,19,22,41,25,11,1,32,35,94
Collins,Don,SF,22,TOT,81,None,1845,360,811,.444,0,6,.000,360,805,.447,.444,211,272,.776,129,139,268,190,104,25,174,259,931
Collins,Don,SF,22,ATL,47,None,1184,230,530,.434,0,3,.000,230,527,.436,.434,137,162,.846,96,91,187,115,69,11,107,166,597
Collins,Don,SF,22,WSB,34,None,661,130,281,.463,0,3,.000,130,278,.468,.463,74,110,.673,33,48,81,75,35,14,67,93,334
Collins,Doug,SG,29,PHI,12,None,329,62,126,.492,0,0,None,62,126,.492,.492,24,29,.828,6,23,29,42,7,4,22,23,148
Cook,Darwin,SG,22,NJN,81,None,1980,383,819,.468,6,25,.240,377,794,.475,.471,132,180,.733,96,140,236,297,141,36,176,197,904
Cook,Jeff,SF,24,PHO,79,None,2192,286,616,.464,0,5,.000,286,611,.468,.464,100,155,.645,170,297,467,201,82,54,146,236,672
Cooper,Michael,SG,24,LAL,81,None,2625,321,654,.491,4,19,.211,317,635,.499,.494,117,149,.785,121,215,336,332,133,78,164,249,763
Cooper,Wayne,C,24,UTA,71,None,1420,213,471,.452,1,3,.333,212,468,.453,.453,62,90,.689,166,274,440,52,18,51,77,219,489
Corzine,Dave,C,24,SAS,82,None,1960,366,747,.490,0,3,.000,366,744,.492,.490,125,175,.714,228,408,636,117,42,99,131,212,857
Criss,Charlie,PG,32,ATL,66,None,1708,220,485,.454,1,21,.048,219,464,.472,.455,185,214,.864,26,74,100,283,61,3,134,87,626
Crompton,Geoff,C,25,POR,6,None,33,4,8,.500,0,0,None,4,8,.500,.500,1,5,.200,7,11,18,2,0,2,5,4,9
Cummings,Pat,C,24,MIL,74,None,1084,248,460,.539,0,2,.000,248,458,.541,.539,99,140,.707,97,195,292,62,31,19,114,192,595
Cureton,Earl,C,23,PHI,52,None,528,93,205,.454,0,1,.000,93,204,.456,.454,33,64,.516,51,104,155,25,20,23,29,68,219
Dandridge,Bob,SF,33,WSB,23,None,545,101,237,.426,0,1,.000,101,236,.428,.426,28,39,.718,19,64,83,60,16,9,33,54,230
Dantley,Adrian,SF,24,UTA,80,None,3417,909,1627,.559,2,7,.286,907,1620,.560,.559,632,784,.806,192,317,509,322,109,18,282,245,2452
Davis,Brad,PG,25,DAL,56,None,1686,230,410,.561,3,17,.176,227,393,.578,.565,163,204,.799,29,122,151,385,52,11,123,156,626
Davis,Johnny,PG,25,IND,76,None,2536,426,917,.465,4,33,.121,422,884,.477,.467,238,299,.796,56,114,170,480,95,14,167,179,1094
Davis,Monti,PF,22,TOT,2,None,10,1,5,.200,0,0,None,1,5,.200,.200,1,5,.200,2,2,4,0,0,1,0,0,3
Davis,Monti,PF,22,PHI,1,None,2,1,1,1.000,0,0,None,1,1,1.000,1.000,0,0,None,0,1,1,0,0,0,0,0,2
Davis,Monti,PF,22,DAL,1,None,8,0,4,.000,0,0,None,0,4,.000,.000,1,5,.200,2,1,3,0,0,1,0,0,1
Davis,Ron,SF,26,SDC,64,None,817,139,314,.443,2,8,.250,137,306,.448,.446,94,158,.595,47,72,119,47,36,11,61,98,374
Davis,Walter,SG,26,PHO,78,None,2182,593,1101,.539,7,17,.412,586,1084,.541,.542,209,250,.836,63,137,200,302,97,12,222,192,1402
Dawkins,Darryl,C,24,PHI,76,None,2088,423,697,.607,0,0,None,423,697,.607,.607,219,304,.720,106,439,545,109,38,112,220,316,1065
Demic,Larry,PF,23,NYK,76,None,964,128,254,.504,0,2,.000,128,252,.508,.504,58,92,.630,114,129,243,28,12,13,58,153,314
Dietrick,Coby,C,32,CHI,82,None,1243,146,320,.456,2,6,.333,144,314,.459,.459,77,111,.694,79,186,265,118,48,53,88,176,371
Donaldson,James,C,23,SEA,68,None,980,129,238,.542,0,0,None,129,238,.542,.542,101,170,.594,107,202,309,42,8,74,68,79,359
Dorsey,Jacky,SF,26,SEA,29,None,253,20,70,.286,0,0,None,20,70,.286,.286,13,25,.520,23,65,88,9,9,1,14,47,53
Douglas,Leon,C,26,KCK,79,None,1356,185,323,.573,0,3,.000,185,320,.578,.573,102,186,.548,150,234,384,69,25,38,90,251,472
Drew,John,SF,26,ATL,67,None,2075,500,1096,.456,0,7,.000,500,1089,.459,.456,454,577,.787,145,238,383,79,98,15,194,264,1454
Drew,Larry,PG,22,DET,76,None,1581,197,484,.407,4,17,.235,193,467,.413,.411,106,133,.797,24,96,120,249,88,7,166,125,504
Drollinger,Ralph,C,26,DAL,6,None,67,7,14,.500,0,0,None,7,14,.500,.500,1,4,.250,5,14,19,14,1,2,13,16,15
Duerod,Terry,SG-SF,24,TOT,50,0,451,104,234,.444,8,16,.500,96,218,.440,.462,31,41,.756,17,27,44,36,17,4,35,27,247
Duerod,Terry,SF,24,DAL,18,None,337,74,161,.460,2,6,.333,72,155,.465,.466,18,27,.667,15,24,39,30,12,4,25,19,168
Duerod,Terry,SG,24,BOS,32,0,114,30,73,.411,6,10,.600,24,63,.381,.452,13,14,.929,2,3,5,6,5,0,10,8,79
Dunleavy,Mike,SG,26,HOU,74,None,1609,310,632,.491,1,16,.063,309,616,.502,.491,156,186,.839,28,90,118,268,64,2,137,165,777
Dunn,T.R.,SG,25,DEN,82,None,1427,146,354,.412,0,2,.000,146,352,.415,.412,79,121,.653,133,168,301,81,66,29,56,141,371
Duren,John,PG,22,UTA,40,None,458,33,101,.327,0,1,.000,33,100,.330,.327,5,9,.556,8,27,35,54,18,2,37,54,71
Edwards,James,C,25,IND,81,None,2375,511,1004,.509,0,3,.000,511,1001,.510,.509,244,347,.703,191,380,571,212,32,128,164,304,1266
Elliott,Bob,C,25,NJN,73,None,1320,214,419,.511,1,2,.500,213,417,.511,.512,121,202,.599,104,157,261,129,34,16,119,175,550
Elmore,Len,C,28,MIL,72,None,925,76,212,.358,0,0,None,76,212,.358,.358,54,75,.720,68,140,208,69,37,52,44,178,206
English,Alex,SF,27,DEN,81,None,3093,768,1555,.494,3,5,.600,765,1550,.494,.495,390,459,.850,273,373,646,290,106,100,241,255,1929
Erving,Julius,SF,30,PHI,82,None,2874,794,1524,.521,4,18,.222,790,1506,.525,.522,422,536,.787,244,413,657,364,173,147,266,233,2014
Evans,Mike,PG,25,MIL,71,None,911,134,291,.460,2,14,.143,132,277,.477,.464,50,64,.781,22,65,87,167,34,4,72,114,320
Fernsten,Eric,C,27,BOS,45,0,279,38,79,.481,0,0,None,38,79,.481,.481,20,30,.667,29,33,62,10,6,7,20,29,96
Ford,Chris,SG,32,BOS,82,75,2723,314,707,.444,36,109,.330,278,598,.465,.470,64,87,.736,72,91,163,295,100,23,127,212,728
Ford,Don,SF,28,CLE,64,None,996,100,224,.446,0,3,.000,100,221,.452,.446,22,24,.917,74,90,164,84,15,12,49,100,222
Ford,Phil,PG,24,KCK,66,None,2287,424,887,.478,11,36,.306,413,851,.485,.484,294,354,.831,26,102,128,580,99,6,241,190,1153
Free,World B.,SG,27,GSW,65,None,2370,516,1157,.446,5,31,.161,511,1126,.454,.448,528,649,.814,48,111,159,361,85,11,195,183,1565
Fuller,Tony,SG,22,DET,15,None,248,24,66,.364,0,1,.000,24,65,.369,.364,12,16,.750,13,29,42,28,10,1,23,25,60
Gale,Mike,PG,30,TOT,77,None,1112,157,309,.508,2,7,.286,155,302,.513,.511,55,68,.809,16,83,99,169,94,7,77,117,371
Gale,Mike,PG,30,SAS,35,None,636,86,164,.524,1,3,.333,85,161,.528,.527,19,26,.731,7,45,52,99,55,2,39,56,192
Gale,Mike,PG,30,POR,42,None,476,71,145,.490,1,4,.250,70,141,.496,.493,36,42,.857,9,38,47,70,39,5,38,61,179
Garrett,Calvin,SF,24,HOU,70,None,1638,188,415,.453,1,3,.333,187,412,.454,.454,50,62,.806,85,179,264,132,50,10,90,167,427
Gerard,Gus,SF,27,TOT,27,None,252,41,111,.369,0,4,.000,41,107,.383,.369,27,40,.675,30,37,67,15,10,9,15,41,109
Gerard,Gus,SF,27,KCK,16,None,123,19,51,.373,0,3,.000,19,48,.396,.373,19,29,.655,13,16,29,6,3,6,7,24,57
Gerard,Gus,SF,27,SAS,11,None,129,22,60,.367,0,1,.000,22,59,.373,.367,8,11,.727,17,21,38,9,7,3,8,17,52
Gervin,George,SG,28,SAS,82,None,2765,850,1729,.492,9,35,.257,841,1694,.496,.494,512,620,.826,126,293,419,260,94,56,251,212,2221
Gilmore,Artis,C,31,CHI,82,None,2832,547,816,.670,0,0,None,547,816,.670,.670,375,532,.705,220,608,828,172,47,198,236,295,1469
Glenn,Mike,PG,25,NYK,82,None,1506,285,511,.558,4,11,.364,281,500,.562,.562,98,110,.891,27,61,88,108,72,5,62,126,672
Gminski,Mike,C,21,NJN,56,None,1579,291,688,.423,0,1,.000,291,687,.424,.423,155,202,.767,137,282,419,72,54,100,128,127,737
Gondrezick,Glen,PF,25,DEN,73,None,1077,155,329,.471,0,2,.000,155,327,.474,.471,112,137,.818,136,171,307,83,91,20,69,185,422
Green,Rickey,PG,26,UTA,47,None,1307,176,366,.481,0,1,.000,176,365,.482,.481,70,97,.722,30,86,116,235,75,1,83,123,422
Greenwood,Dave,PF,23,CHI,82,None,2710,481,989,.486,0,2,.000,481,987,.487,.486,217,290,.748,243,481,724,218,77,124,192,282,1179
Grevey,Kevin,SG,27,WSB,75,None,2616,500,1103,.453,45,136,.331,455,967,.471,.474,244,290,.841,67,152,219,300,68,17,144,161,1289
Griffin,Paul,PF,27,SAS,82,None,1930,166,325,.511,0,0,None,166,325,.511,.511,170,253,.672,184,321,505,249,77,38,132,207,502
Griffith,Darrell,SG,22,UTA,81,None,2867,716,1544,.464,10,52,.192,706,1492,.473,.467,229,320,.716,79,209,288,194,106,40,231,219,1671
Gross,Bob,SF,27,POR,82,None,1934,253,479,.528,0,9,.000,253,470,.538,.528,135,159,.849,126,202,328,251,90,67,151,238,641
Grunfeld,Ernie,SF,25,KCK,79,None,1584,260,486,.535,0,0,None,260,486,.535,.535,75,101,.743,31,175,206,205,60,15,88,155,595
Hamilton,Roy,PG,23,POR,1,None,5,1,3,.333,0,0,None,1,3,.333,.333,1,2,.500,2,1,3,0,0,0,1,1,3
Hanzlik,Bill,SF,23,SEA,74,None,1259,138,289,.478,1,5,.200,137,284,.482,.479,119,150,.793,67,86,153,111,58,20,84,168,396
Hardy,Alan,SG,23,LAL,22,None,111,22,59,.373,0,0,None,22,59,.373,.373,7,10,.700,8,11,19,3,1,9,11,13,51
Hardy,James,PF,24,UTA,23,None,509,52,111,.468,0,0,None,52,111,.468,.468,11,20,.550,39,94,133,36,21,20,23,58,115
Harper,Mike,PF,23,POR,55,None,461,56,136,.412,0,3,.000,56,133,.421,.412,37,85,.435,28,65,93,17,23,20,32,73,149
Hassett,Joe,SG,25,TOT,41,None,714,143,340,.421,53,156,.340,90,184,.489,.499,17,21,.810,24,44,68,74,13,2,22,65,356
Hassett,Joe,SG,25,DAL,17,None,280,59,142,.415,10,40,.250,49,102,.480,.451,10,13,.769,11,14,25,18,5,0,11,21,138
Hassett,Joe,SG,25,GSW,24,None,434,84,198,.424,43,116,.371,41,82,.500,.533,7,8,.875,13,30,43,56,8,2,11,44,218
Hawes,Steve,C,30,ATL,74,None,2309,333,637,.523,1,4,.250,332,633,.524,.524,222,278,.799,165,396,561,168,73,32,161,289,889
Hayes,Elvin,PF,35,WSB,81,None,2931,584,1296,.451,0,10,.000,584,1286,.454,.451,271,439,.617,235,554,789,98,68,171,189,300,1439
Heard,Gar,PF,32,SDC,78,None,1631,149,396,.376,0,7,.000,149,389,.383,.376,79,101,.782,120,228,348,122,104,72,81,196,377
Henderson,Gerald,PG,25,BOS,82,10,1608,261,579,.451,1,16,.063,260,563,.462,.452,113,157,.720,43,89,132,213,79,12,160,177,636
Henderson,Tom,SG,29,HOU,66,None,1411,137,332,.413,0,3,.000,137,329,.416,.413,78,95,.821,30,74,104,307,53,4,93,111,352
Herron,Keith,SG,24,DET,80,None,2270,432,954,.453,2,11,.182,430,943,.456,.454,228,267,.854,98,113,211,148,91,26,153,154,1094
Higgs,Kenny,PG,26,DEN,72,None,1689,209,474,.441,4,34,.118,205,440,.466,.445,140,172,.814,24,121,145,408,101,6,166,243,562
High,Johnny,PG,23,PHO,81,None,1750,246,576,.427,2,24,.083,244,552,.442,.429,183,264,.693,89,139,228,202,129,26,188,251,677
Hill,Armond,PG,27,TOT,75,None,1738,117,335,.349,0,7,.000,117,328,.357,.349,141,172,.820,41,118,159,292,66,11,127,207,375
Hill,Armond,PG,27,ATL,24,None,624,39,116,.336,0,1,.000,39,115,.339,.336,42,50,.840,10,41,51,118,26,3,58,60,120
Hill,Armond,PG,27,SEA,51,None,1114,78,219,.356,0,6,.000,78,213,.366,.356,99,122,.811,31,77,108,174,40,8,69,147,255
Holland,Brad,SG,24,LAL,41,None,295,47,111,.423,1,3,.333,46,108,.426,.428,35,49,.714,9,20,29,23,21,1,31,44,130
Hollins,Lionel,PG,27,PHI,82,None,2154,327,696,.470,2,15,.133,325,681,.477,.471,125,171,.731,47,144,191,352,104,18,207,205,781
Hordges,Cedrick,PF,24,DEN,68,None,1599,221,480,.460,0,3,.000,221,477,.463,.460,130,186,.699,120,338,458,104,33,19,120,226,572
Hubbard,Phil,PF,24,DET,80,None,2289,433,880,.492,1,3,.333,432,877,.493,.493,294,426,.690,236,350,586,150,80,20,229,317,1161
Hughes,Kim,C,28,TOT,53,None,490,27,70,.386,0,0,None,27,70,.386,.386,1,2,.500,48,79,127,35,28,35,44,106,55
Hughes,Kim,C,28,DEN,8,None,159,11,25,.440,0,0,None,11,25,.440,.440,1,2,.500,19,31,50,11,11,14,11,33,23
Hughes,Kim,C,28,CLE,45,None,331,16,45,.356,0,0,None,16,45,.356,.356,0,0,None,29,48,77,24,17,21,33,73,32
Huston,Geoff,PG,23,TOT,81,None,2434,461,942,.489,1,5,.200,460,937,.491,.490,150,212,.708,45,93,138,394,58,7,179,148,1073
Huston,Geoff,PG,23,DAL,56,None,1892,385,789,.488,1,4,.250,384,785,.489,.489,128,185,.692,33,66,99,277,45,6,148,113,899
Huston,Geoff,PG,23,CLE,25,None,542,76,153,.497,0,1,.000,76,152,.500,.497,22,27,.815,12,27,39,117,13,1,31,35,174
Issel,Dan,C,32,DEN,80,None,2641,614,1220,.503,2,12,.167,612,1208,.507,.504,519,684,.759,229,447,676,158,83,53,130,249,1749
Jackson,Tony,PG,23,LAL,2,None,14,1,3,.333,0,0,None,1,3,.333,.333,0,0,None,0,2,2,2,2,0,0,1,2
Jeelani,Abdul,SF,26,DAL,66,None,1108,187,440,.425,0,1,.000,187,439,.426,.425,179,220,.814,83,147,230,65,44,31,87,123,553
Johnson,Clemon,C,24,IND,81,None,1643,235,466,.504,0,1,.000,235,465,.505,.504,112,189,.593,173,295,468,144,44,119,121,185,582
Johnson,Dennis,PG,26,PHO,79,None,2615,532,1220,.436,11,51,.216,521,1169,.446,.441,411,501,.820,160,203,363,291,136,61,208,244,1486
Johnson,Eddie,SG,25,ATL,75,None,2693,573,1136,.504,6,20,.300,567,1116,.508,.507,279,356,.784,60,119,179,407,126,11,197,188,1431
Johnson,George,C,32,SAS,82,None,1935,164,347,.473,0,0,None,164,347,.473,.473,80,109,.734,215,387,602,92,47,278,110,273,408
Johnson,George,PF,24,IND,43,None,930,182,394,.462,0,5,.000,182,389,.468,.462,93,122,.762,99,179,278,86,47,23,85,120,457
Johnson,John,SF,33,SEA,80,None,2324,373,866,.431,0,1,.000,373,865,.431,.431,173,214,.808,135,227,362,312,57,25,230,202,919
Johnson,Lee,PF,23,TOT,12,None,90,7,25,.280,0,0,None,7,25,.280,.280,3,5,.600,6,16,22,1,0,5,7,18,17
Johnson,Lee,PF,23,HOU,10,None,80,7,23,.304,0,0,None,7,23,.304,.304,3,5,.600,6,14,20,1,0,5,7,17,17
Johnson,Lee,PF,23,DET,2,None,10,0,2,.000,0,0,None,0,2,.000,.000,0,0,None,0,2,2,0,0,0,0,1,0
Johnson,Magic,SG,21,LAL,37,None,1371,312,587,.532,3,17,.176,309,570,.542,.534,171,225,.760,101,219,320,317,127,27,143,100,798
Johnson,Marques,SF,24,MIL,76,None,2542,636,1153,.552,0,9,.000,636,1144,.556,.552,269,381,.706,225,293,518,346,115,41,190,196,1541
Johnson,Mickey,PF,28,MIL,82,None,2118,379,846,.448,3,18,.167,376,828,.454,.450,262,332,.789,183,362,545,286,94,71,230,256,1023
Johnson,Ollie,SF,31,PHI,40,None,372,87,158,.551,1,6,.167,86,152,.566,.554,27,31,.871,8,47,55,30,20,2,25,45,202
Johnson,Reggie,PF,23,SAS,79,None,1716,340,682,.499,0,1,.000,340,681,.499,.499,128,193,.663,132,226,358,78,45,48,130,283,808
Johnson,Vinnie,PG,24,SEA,81,None,2311,419,785,.534,1,5,.200,418,780,.536,.534,214,270,.793,193,173,366,341,78,20,216,198,1053
Jones,Bobby,PF,29,PHI,81,None,2046,407,755,.539,0,3,.000,407,752,.541,.539,282,347,.813,142,293,435,226,95,74,149,226,1096
Jones,Caldwell,C,30,PHI,81,None,2639,218,485,.449,0,0,None,218,485,.449,.449,148,193,.767,200,613,813,122,53,134,168,271,584
Jones,Dwight,PF,28,CHI,81,None,1574,245,507,.483,0,0,None,245,507,.483,.483,125,161,.776,127,274,401,99,40,36,126,200,615
Jones,Edgar,PF,24,NJN,60,None,950,189,357,.529,0,4,.000,189,353,.535,.529,146,218,.670,92,171,263,43,36,81,101,185,524
Jones,Major,PF,27,HOU,68,None,1003,117,252,.464,0,1,.000,117,251,.466,.464,64,101,.634,96,138,234,41,18,23,57,112,298
Jordan,Eddie,PG,26,TOT,74,None,1226,150,352,.426,6,22,.273,144,330,.436,.435,87,127,.685,30,68,98,241,98,8,143,165,393
Jordan,Eddie,PG,26,NJN,14,None,239,30,73,.411,3,10,.300,27,63,.429,.432,24,32,.750,5,13,18,46,24,1,23,29,87
Jordan,Eddie,PG,26,LAL,60,None,987,120,279,.430,3,12,.250,117,267,.438,.435,63,95,.663,25,55,80,195,74,7,120,136,306
Jordan,Walter,SF,24,CLE,30,None,207,29,75,.387,0,0,None,29,75,.387,.387,10,17,.588,23,19,42,11,11,5,17,35,68
Judkins,Jeff,SF,24,UTA,62,None,666,92,216,.426,9,28,.321,83,188,.441,.447,45,51,.882,29,64,93,59,16,2,30,84,238
Kea,Clarence,PF,21,DAL,16,None,199,37,81,.457,0,1,.000,37,80,.463,.457,43,62,.694,28,39,67,5,6,1,16,44,117
Kelley,Rich,C,27,PHO,81,None,1686,196,387,.506,0,2,.000,196,385,.509,.506,175,231,.758,131,310,441,282,79,63,209,210,567
Kelser,Greg,SF,23,DET,25,None,654,120,285,.421,0,2,.000,120,283,.424,.421,68,106,.642,53,67,120,45,34,29,78,89,308
Kenon,Larry,SF,28,CHI,77,None,2161,454,946,.480,0,0,None,454,946,.480,.480,180,245,.735,179,219,398,120,75,18,161,160,1088
Kinch,Chad,SG,22,TOT,41,None,353,52,141,.369,0,0,None,52,141,.369,.369,14,18,.778,7,26,33,45,11,6,30,33,118
Kinch,Chad,SG,22,CLE,29,None,247,38,96,.396,0,0,None,38,96,.396,.396,4,5,.800,7,17,24,35,9,5,22,24,80
Kinch,Chad,SG,22,DAL,12,None,106,14,45,.311,0,0,None,14,45,.311,.311,10,13,.769,0,9,9,10,2,1,8,9,38
King,Bernard,SF,24,GSW,81,None,2914,731,1244,.588,2,6,.333,729,1238,.589,.588,307,437,.703,178,373,551,287,72,34,265,304,1771
King,Reggie,PF,23,KCK,81,None,2743,472,867,.544,0,0,None,472,867,.544,.544,264,386,.684,235,551,786,122,102,41,164,227,1208
