LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Abdul-Jabbar,Kareem,C,33,LAL,80,None,2976,836,1457,.574,0,1,.000,836,1456,.574,.574,423,552,.766,197,624,821,272,59,228,249,244,2095
Abernethy,Tom,SF,26,TOT,39,None,298,25,59,.424,0,1,.000,25,58,.431,.424,13,22,.591,20,28,48,19,7,3,8,34,63
Abernethy,Tom,SF,26,GSW,10,None,39,1,3,.333,0,0,None,1,3,.333,.333,2,3,.667,1,7,8,1,1,0,2,5,4
Abernethy,Tom,SF,26,IND,29,None,259,24,56,.429,0,1,.000,24,55,.436,.429,11,19,.579,19,21,40,18,6,3,6,29,59
Adams,Alvan,C,26,PHO,75,None,2054,458,870,.526,0,0,None,458,870,.526,.526,199,259,.768,157,389,546,344,106,69,226,226,1115
Allums,Darrell,PF,22,DAL,22,None,276,23,67,.343,0,1,.000,23,66,.348,.343,13,22,.591,19,46,65,25,5,8,23,51,59
Archibald,Tiny,PG,32,BOS,80,72,2820,382,766,.499,0,9,.000,382,757,.505,.499,342,419,.816,36,140,176,618,75,18,265,201,1106
Awtrey,Dennis,C,32,SEA,47,None,607,44,93,.473,0,0,None,44,93,.473,.473,14,20,.700,33,75,108,54,12,8,33,85,102
Bailey,James,PF,23,SEA,82,None,2539,444,889,.499,1,2,.500,443,887,.499,.500,256,361,.709,192,415,607,98,74,143,219,332,1145
Ballard,Greg,SF,26,WSB,82,None,2610,549,1186,.463,7,32,.219,542,1154,.470,.466,166,196,.847,167,413,580,195,118,39,117,194,1271
Bantom,Mike,SF,29,IND,76,None,2375,431,882,.489,0,6,.000,431,876,.492,.489,199,281,.708,150,277,427,240,80,85,197,284,1061
Bates,Billy Ray,SG,24,POR,77,None,1560,439,902,.487,14,54,.259,425,848,.501,.494,170,199,.854,71,86,157,196,82,6,149,120,1062
Bennett,Mel,PF,26,UTA,28,None,313,26,60,.433,0,2,.000,26,58,.448,.433,53,81,.654,33,60,93,15,3,11,31,56,105
Benson,Kent,C,26,DET,59,None,1956,364,770,.473,0,4,.000,364,766,.475,.473,196,254,.772,124,276,400,172,72,67,190,184,924
Bibby,Henry,PG,31,SDC,73,None,1112,118,306,.386,32,95,.337,86,211,.408,.438,67,98,.684,25,49,74,200,47,2,76,85,335
Bird,Larry,PF,24,BOS,82,82,3239,719,1503,.478,20,74,.270,699,1429,.489,.485,283,328,.863,191,704,895,451,161,63,289,239,1741
Birdsong,Otis,SG,25,KCK,71,None,2593,710,1306,.544,10,35,.286,700,1271,.551,.547,317,455,.697,119,139,258,233,93,18,173,172,1747
Black,Norman,SG,23,DET,3,None,28,3,10,.300,0,0,None,3,10,.300,.300,2,8,.250,0,2,2,2,1,0,1,2,8
Boone,Ron,SG,34,UTA,52,None,1146,160,371,.431,11,39,.282,149,332,.449,.446,75,94,.798,17,67,84,161,33,8,111,126,406
Boynes,Winford,SG,23,DAL,44,None,757,121,313,.387,0,0,None,121,313,.387,.387,45,55,.818,24,51,75,37,23,16,69,79,287
Bradley,Dudley,SG,23,IND,82,None,1867,265,559,.474,2,16,.125,263,543,.484,.476,125,178,.702,70,123,193,188,186,37,122,236,657
Bratz,Mike,PG,25,CLE,80,None,2595,319,817,.390,57,169,.337,262,648,.404,.425,107,132,.811,66,132,198,452,136,17,162,194,802
Brewer,Jim,PF,29,LAL,78,None,1107,101,197,.513,0,2,.000,101,195,.518,.513,15,40,.375,127,154,281,55,43,58,48,158,217
Brewer,Ron,SG,25,TOT,75,None,1452,275,631,.436,1,7,.143,274,624,.439,.437,91,114,.798,34,52,86,148,61,34,92,95,642
Brewer,Ron,SG,25,POR,29,None,548,95,246,.386,1,3,.333,94,243,.387,.388,26,34,.765,13,20,33,55,34,9,38,42,217
Brewer,Ron,SG,25,SAS,46,None,904,180,385,.468,0,4,.000,180,381,.472,.468,65,80,.813,21,32,53,93,27,25,54,53,425
Bridgeman,Junior,SF,27,MIL,77,None,2215,537,1102,.487,3,21,.143,534,1081,.494,.489,213,241,.884,78,211,289,234,88,28,150,182,1290
Bristow,Allan,SF,29,UTA,82,None,2001,271,611,.444,5,18,.278,266,593,.449,.448,166,198,.838,103,327,430,383,63,3,171,190,713
