LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Abdul-Aziz,Zaid,PF-C,31,TOT,16,None,158,23,60,.383,None,None,None,23,60,.383,.383,17,23,.739,19,31,50,10,3,3,14,29,63
Abdul-Aziz,Zaid,C,31,BOS,2,None,24,3,13,.231,None,None,None,3,13,.231,.231,2,3,.667,6,9,15,3,1,1,3,4,8
Abdul-Aziz,Zaid,PF,31,HOU,14,None,134,20,47,.426,None,None,None,20,47,.426,.426,15,20,.750,13,22,35,7,2,2,11,25,55
Abdul-Jabbar,Kareem,C,30,LAL,62,None,2265,663,1205,.550,None,None,None,663,1205,.550,.550,274,350,.783,186,615,801,269,103,185,208,182,1600
Abernethy,Tom,SF,23,LAL,73,None,1317,201,404,.498,None,None,None,201,404,.498,.498,91,111,.820,105,160,265,101,55,22,50,122,493
Adams,Alvan,C,23,PHO,70,None,1914,434,895,.485,None,None,None,434,895,.485,.485,214,293,.730,158,407,565,225,86,63,234,242,1082
Allen,Lucius,PG,30,KCK,77,None,2147,373,846,.441,None,None,None,373,846,.441,.441,174,220,.791,66,163,229,360,93,28,217,180,920
Ard,Jim,C,29,TOT,15,None,125,8,17,.471,None,None,None,8,17,.471,.471,3,5,.600,9,27,36,8,0,0,14,19,19
Ard,Jim,C,29,BOS,1,None,9,0,1,.000,None,None,None,0,1,.000,.000,1,2,.500,1,3,4,1,0,0,0,1,1
Ard,Jim,C,29,CHI,14,None,116,8,16,.500,None,None,None,8,16,.500,.500,2,3,.667,8,24,32,7,0,0,14,18,18
Armstrong,Tate,SG,22,CHI,66,None,716,131,280,.468,None,None,None,131,280,.468,.468,22,27,.815,24,44,68,74,23,0,58,42,284
Averitt,Bird,SG,25,TOT,55,None,1085,198,484,.409,None,None,None,198,484,.409,.409,100,141,.709,17,66,83,196,39,9,143,123,496
Averitt,Bird,SG,25,NJN,21,None,409,69,188,.367,None,None,None,69,188,.367,.367,36,45,.800,7,26,33,68,17,1,55,37,174
Averitt,Bird,SG,25,BUF,34,None,676,129,296,.436,None,None,None,129,296,.436,.436,64,96,.667,10,40,50,128,22,8,88,86,322
Awtrey,Dennis,C,29,PHO,81,None,1623,112,264,.424,None,None,None,112,264,.424,.424,69,109,.633,97,205,302,163,19,25,127,153,293
Bailey,Gus,SG,26,NOJ,48,None,449,59,139,.424,None,None,None,59,139,.424,.424,37,67,.552,44,38,82,40,18,15,33,46,155
Ballard,Greg,SF,23,WSB,76,None,936,142,334,.425,None,None,None,142,334,.425,.425,88,114,.772,102,164,266,62,30,13,64,90,372
