LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sellers,Phil,SG,23,DET,44,None,329,73,190,.384,None,None,None,73,190,.384,.384,52,72,.722,19,22,41,25,22,0,None,56,198
Shelton,Lonnie,PF,21,NYK,82,None,2104,398,836,.476,None,None,None,398,836,.476,.476,159,225,.707,220,413,633,149,125,98,None,363,955
Shumate,John,PF,24,BUF,74,None,2601,407,810,.502,None,None,None,407,810,.502,.502,302,450,.671,163,538,701,159,90,84,None,197,1116
Silas,James,PG,27,SAS,22,None,356,61,142,.430,None,None,None,61,142,.430,.430,87,107,.813,7,25,32,50,13,3,None,36,209
Silas,Paul,PF,33,DEN,81,None,1959,206,572,.360,None,None,None,206,572,.360,.360,170,255,.667,236,370,606,132,58,23,None,183,582
Simpson,Ralph,SG,27,DET,77,None,1597,356,834,.427,None,None,None,356,834,.427,.427,138,195,.708,48,133,181,180,68,5,None,100,850
Skinner,Al,SG,24,NYN,79,None,2256,382,887,.431,None,None,None,382,887,.431,.431,231,292,.791,112,251,363,289,103,53,None,279,995
Smith,Bingo,SF,30,CLE,81,None,2135,513,1149,.446,None,None,None,513,1149,.446,.446,148,181,.818,92,225,317,152,61,30,None,211,1174
Smith,Elmore,C,27,TOT,70,None,1464,241,507,.475,None,None,None,241,507,.475,.475,117,213,.549,114,325,439,43,35,144,None,207,599
Smith,Elmore,C,27,MIL,34,None,789,113,253,.447,None,None,None,113,253,.447,.447,61,105,.581,52,156,208,30,19,69,None,109,287
Smith,Elmore,C,27,CLE,36,None,675,128,254,.504,None,None,None,128,254,.504,.504,56,108,.519,62,169,231,13,16,75,None,98,312
Smith,Phil,SG,24,GSW,82,None,2880,631,1318,.479,None,None,None,631,1318,.479,.479,295,376,.785,101,231,332,328,98,29,None,227,1557
Smith,Randy,SG,28,BUF,82,None,3094,702,1504,.467,None,None,None,702,1504,.467,.467,294,386,.762,134,323,457,441,176,8,None,264,1698
