LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Abdul-Jabbar,Kareem,C,31,LAL,80,None,3157,777,1347,.577,None,None,None,777,1347,.577,.577,349,474,.736,207,818,1025,431,76,316,282,230,1903
Abernethy,Tom,PF,24,GSW,70,None,1219,176,342,.515,None,None,None,176,342,.515,.515,70,94,.745,74,142,216,79,39,13,32,133,422
Adams,Alvan,C,24,PHO,77,None,2364,569,1073,.530,None,None,None,569,1073,.530,.530,231,289,.799,220,485,705,360,110,63,279,246,1369
Allen,Lucius,PG,31,KCK,31,None,413,69,174,.397,None,None,None,69,174,.397,.397,19,33,.576,14,32,46,44,21,6,30,52,157
Anderson,Kim,SF,23,POR,21,None,224,24,77,.312,None,None,None,24,77,.312,.312,15,28,.536,17,28,45,15,4,5,22,42,63
Archibald,Tiny,PG,30,BOS,69,None,1662,259,573,.452,None,None,None,259,573,.452,.452,242,307,.788,25,78,103,324,55,6,197,132,760
Armstrong,Tate,SG,23,CHI,26,None,259,28,70,.400,None,None,None,28,70,.400,.400,10,13,.769,7,13,20,31,10,0,21,22,66
Awtrey,Dennis,C,30,TOT,63,None,746,44,107,.411,None,None,None,44,107,.411,.411,41,56,.732,42,109,151,69,16,13,52,106,129
Awtrey,Dennis,C,30,BOS,23,None,247,17,44,.386,None,None,None,17,44,.386,.386,16,20,.800,13,34,47,20,3,6,21,37,50
Awtrey,Dennis,C,30,SEA,40,None,499,27,63,.429,None,None,None,27,63,.429,.429,25,36,.694,29,75,104,49,13,7,31,69,79
Bailey,Gus,SG,27,NOJ,2,None,9,2,7,.286,None,None,None,2,7,.286,.286,0,0,None,2,0,2,2,0,0,1,1,4
Ballard,Greg,SF,24,WSB,82,None,1552,260,559,.465,None,None,None,260,559,.465,.465,119,172,.692,143,307,450,116,58,30,97,167,639
Bantom,Mike,PF,27,IND,81,None,2528,482,1036,.465,None,None,None,482,1036,.465,.465,227,338,.672,225,425,650,223,99,62,193,316,1191
Barker,Tom,C,23,TOT,39,None,476,68,156,.436,None,None,None,68,156,.436,.436,27,37,.730,45,74,119,15,10,11,34,76,163
Barker,Tom,C,23,HOU,5,None,16,3,6,.500,None,None,None,3,6,.500,.500,2,2,1.000,2,4,6,0,0,0,1,5,8
Barker,Tom,C,23,BOS,12,None,131,21,48,.438,None,None,None,21,48,.438,.438,11,15,.733,12,18,30,6,4,4,13,26,53
Barker,Tom,C,23,NYK,22,None,329,44,102,.431,None,None,None,44,102,.431,.431,14,20,.700,31,52,83,9,6,7,20,45,102
Barnes,Marvin,PF,26,BOS,38,None,796,133,271,.491,None,None,None,133,271,.491,.491,43,66,.652,57,120,177,53,38,39,68,144,309
