LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Abdul-Aziz,Zaid,C,29,SEA,27,None,223,35,75,.467,None,None,None,35,75,.467,.467,16,29,.552,30,46,76,16,8,15,None,29,86
Abdul-Jabbar,Kareem,C,28,LAL,82,None,3379,914,1728,.529,None,None,None,914,1728,.529,.529,447,636,.703,272,1111,1383,413,119,338,None,292,2275
Adams,Alvan,C,21,PHO,80,None,2656,629,1341,.469,None,None,None,629,1341,.469,.469,261,355,.735,215,512,727,450,121,116,None,274,1519
Adams,Don,SF,28,BUF,56,None,704,67,170,.394,None,None,None,67,170,.394,.394,40,57,.702,38,107,145,73,30,7,None,128,174
Allen,Lucius,PG,28,LAL,76,None,2388,461,1004,.459,None,None,None,461,1004,.459,.459,197,254,.776,64,150,214,357,101,20,None,241,1119
Anderson,Dan,PG,25,POR,52,None,614,88,181,.486,None,None,None,88,181,.486,.486,51,61,.836,15,47,62,85,20,2,None,58,227
Anderson,Jerome,SG,22,BOS,22,None,126,25,45,.556,None,None,None,25,45,.556,.556,11,16,.688,4,9,13,6,3,3,None,25,61
Archibald,Tiny,PG,27,KCK,78,None,3184,717,1583,.453,None,None,None,717,1583,.453,.453,501,625,.802,67,146,213,615,126,15,None,169,1935
Ard,Jim,C,27,BOS,81,None,853,107,294,.364,None,None,None,107,294,.364,.364,71,100,.710,96,193,289,48,12,36,None,141,285
Awtrey,Dennis,C,27,PHO,74,None,1376,142,304,.467,None,None,None,142,304,.467,.467,75,109,.688,93,200,293,159,21,22,None,153,359
Bailey,Gus,SG,24,HOU,30,None,262,28,77,.364,None,None,None,28,77,.364,.364,14,28,.500,20,30,50,41,14,8,None,33,70
Bantom,Mike,SF,24,TOT,73,None,1571,220,476,.462,None,None,None,220,476,.462,.462,136,199,.683,140,251,391,105,28,28,None,221,576
Bantom,Mike,SF,24,PHO,7,None,68,8,26,.308,None,None,None,8,26,.308,.308,5,5,1.000,7,16,23,3,2,2,None,13,21
Bantom,Mike,SF,24,SEA,66,None,1503,212,450,.471,None,None,None,212,450,.471,.471,131,194,.675,133,235,368,102,26,26,None,208,555
Barnett,Jim,SG,31,NYK,71,None,1026,164,371,.442,None,None,None,164,371,.442,.442,90,114,.789,48,40,88,90,24,3,None,86,418
Barry,Rick,SF,31,GSW,81,None,3122,707,1624,.435,None,None,None,707,1624,.435,.435,287,311,.923,74,422,496,496,202,27,None,215,1701
Baskerville,Jerry,SF,24,PHI,21,None,105,8,26,.308,None,None,None,8,26,.308,.308,10,16,.625,13,15,28,3,6,5,None,32,26
Beard,Butch,PG,28,TOT,75,None,1704,228,496,.460,None,None,None,228,496,.460,.460,144,192,.750,103,207,310,218,81,8,None,216,600
Beard,Butch,PG,28,CLE,15,None,255,35,90,.389,None,None,None,35,90,.389,.389,27,37,.730,14,29,43,45,10,2,None,36,97
Beard,Butch,PG,28,NYK,60,None,1449,193,406,.475,None,None,None,193,406,.475,.475,117,155,.755,89,178,267,173,71,6,None,180,503
Behagen,Ron,PF,25,NOJ,66,None,1733,308,691,.446,None,None,None,308,691,.446,.446,144,179,.804,190,363,553,139,67,26,None,222,760
Bell,Dennis,SF,24,NYK,10,None,76,8,21,.381,None,None,None,8,21,.381,.381,3,7,.429,4,10,14,3,6,1,None,11,19
Benbow,Leon,SG,25,CHI,76,None,1586,219,551,.397,None,None,None,219,551,.397,.397,105,140,.750,65,111,176,158,62,11,None,186,543
Bibby,Henry,PG,26,NOJ,79,None,1772,266,622,.428,None,None,None,266,622,.428,.428,200,251,.797,58,121,179,225,62,3,None,165,732
Bigelow,Bob,SF,22,KCK,31,None,163,16,47,.340,None,None,None,16,47,.340,.340,24,33,.727,9,20,29,9,4,1,None,18,56
Bing,Dave,PG,32,WSB,82,None,2945,497,1113,.447,None,None,None,497,1113,.447,.447,332,422,.787,94,143,237,492,118,23,None,262,1326
Block,John,PF,31,CHI,2,None,7,2,4,.500,None,None,None,2,4,.500,.500,0,2,.000,0,2,2,0,1,0,None,2,4
Boerwinkle,Tom,C,30,CHI,74,None,2045,265,530,.500,None,None,None,265,530,.500,.500,118,177,.667,263,529,792,283,47,52,None,263,648
Boswell,Tom,PF,22,BOS,35,None,275,41,93,.441,None,None,None,41,93,.441,.441,14,24,.583,26,45,71,16,2,1,None,70,96
Boyd,Freddie,SG-PG,25,TOT,36,None,617,74,171,.433,None,None,None,74,171,.433,.433,29,51,.569,4,28,32,80,28,7,None,59,177
Boyd,Freddie,PG,25,PHI,6,None,33,2,6,.333,None,None,None,2,6,.333,.333,1,2,.500,0,2,2,2,1,0,None,5,5
Boyd,Freddie,SG,25,NOJ,30,None,584,72,165,.436,None,None,None,72,165,.436,.436,28,49,.571,4,26,30,78,27,7,None,54,172
Bradley,Bill,SF,32,NYK,82,None,2709,392,906,.433,None,None,None,392,906,.433,.433,130,148,.878,47,187,234,247,68,18,None,256,914
Brewer,Jim,PF,24,CLE,82,None,2913,400,874,.458,None,None,None,400,874,.458,.458,140,214,.654,298,593,891,209,94,89,None,214,940
Bridgeman,Junior,SF,22,MIL,81,None,1646,286,651,.439,None,None,None,286,651,.439,.439,128,161,.795,113,181,294,157,52,21,None,235,700
Brokaw,Gary,SG,22,MIL,75,None,1468,237,519,.457,None,None,None,237,519,.457,.457,159,227,.700,26,99,125,246,37,17,None,138,633
Brown,Fred,SG,27,SEA,76,None,2516,742,1522,.488,None,None,None,742,1522,.488,.488,273,314,.869,111,206,317,207,143,18,None,186,1757
Brown,John,PF,24,ATL,75,None,1758,215,486,.442,None,None,None,215,486,.442,.442,162,209,.775,146,257,403,126,45,16,None,235,592
