LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brown,Roger,C,25,DET,29,None,454,29,72,.403,None,None,None,29,72,.403,.403,14,18,.778,47,83,130,12,6,25,None,76,72
Bryant,Joe,PF,21,PHI,75,None,1203,233,552,.422,None,None,None,233,552,.422,.422,92,147,.626,97,181,278,61,44,23,None,165,558
Burleson,Tom,C,23,SEA,82,None,2647,496,1032,.481,None,None,None,496,1032,.481,.481,291,388,.750,258,484,742,180,70,150,None,273,1283
Calhoun,Corky,SF,25,LAL,76,None,1816,172,368,.467,None,None,None,172,368,.467,.467,65,83,.783,117,224,341,85,62,35,None,216,409
Carlson,Al,C,24,SEA,28,None,279,27,79,.342,None,None,None,27,79,.342,.342,18,29,.621,30,43,73,13,7,11,None,39,72
Carr,Austin,SG,27,CLE,65,None,1282,276,625,.442,None,None,None,276,625,.442,.442,106,134,.791,67,65,132,122,37,2,None,92,658
Carter,Fred,PG,30,PHI,82,None,2992,665,1594,.417,None,None,None,665,1594,.417,.417,219,312,.702,113,186,299,372,137,13,None,286,1549
Catchings,Harvey,C,24,PHI,75,None,1731,103,242,.426,None,None,None,103,242,.426,.426,58,96,.604,191,329,520,63,21,164,None,262,264
Charles,Ken,SG,24,BUF,81,None,2247,328,719,.456,None,None,None,328,719,.456,.456,161,205,.785,58,161,219,204,123,48,None,257,817
Chenier,Phil,SG,25,WSB,80,None,2952,654,1355,.483,None,None,None,654,1355,.483,.483,282,341,.827,84,236,320,255,158,45,None,186,1590
Chones,Jim,C,26,CLE,82,None,2741,563,1258,.448,None,None,None,563,1258,.448,.448,172,260,.662,197,542,739,163,42,93,None,241,1298
Clark,Archie,SG,34,DET,79,None,1589,250,577,.433,None,None,None,250,577,.433,.433,100,116,.862,27,110,137,218,62,4,None,157,600
Cleamons,Jim,PG,26,CLE,82,None,2835,413,887,.466,None,None,None,413,887,.466,.466,174,218,.798,124,230,354,428,124,20,None,214,1000
Clemens,Barry,SF,32,POR,49,None,443,70,143,.490,None,None,None,70,143,.490,.490,31,35,.886,27,43,70,33,27,7,None,57,171
Coleman,E.C.,PF,25,NOJ,67,None,1850,216,479,.451,None,None,None,216,479,.451,.451,59,89,.663,124,295,419,87,56,30,None,227,491
Collins,Doug,SG,24,PHI,77,None,2995,614,1196,.513,None,None,None,614,1196,.513,.513,372,445,.836,126,181,307,191,110,24,None,249,1600
Counts,Mel,C,34,NOJ,30,None,319,37,91,.407,None,None,None,37,91,.407,.407,16,21,.762,27,73,100,38,16,8,None,74,90
Cowens,Dave,C,27,BOS,78,None,3101,611,1305,.468,None,None,None,611,1305,.468,.468,257,340,.756,335,911,1246,325,94,71,None,314,1479
Creighton,Jim,SF,25,ATL,32,None,172,12,43,.279,None,None,None,12,43,.279,.279,7,16,.438,13,32,45,4,2,9,None,23,31
Cunningham,Billy,SF,32,PHI,20,None,640,103,251,.410,None,None,None,103,251,.410,.410,68,88,.773,29,118,147,107,24,10,None,57,274
D'Antoni,Mike,SG,24,KCK,9,None,101,7,27,.259,None,None,None,7,27,.259,.259,2,2,1.000,4,10,14,16,10,0,None,18,16
Dandridge,Bob,SF,28,MIL,73,None,2735,650,1296,.502,None,None,None,650,1296,.502,.502,271,329,.824,171,369,540,206,111,38,None,263,1571
Davis,Dwight,PF,26,GSW,72,None,866,111,269,.413,None,None,None,111,269,.413,.413,78,113,.690,86,139,225,46,20,28,None,141,300
Davis,Mel,PF,25,NYK,42,None,408,76,193,.394,None,None,None,76,193,.394,.394,22,29,.759,43,105,148,31,16,5,None,56,174
Davis,Mickey,SF,25,MIL,45,None,411,55,152,.362,None,None,None,55,152,.362,.362,50,63,.794,25,59,84,37,13,2,None,36,160
Dawkins,Darryl,C,19,PHI,37,None,165,41,82,.500,None,None,None,41,82,.500,.500,8,24,.333,15,34,49,3,2,9,None,40,90
Derline,Rod,SG,23,SEA,49,None,339,73,181,.403,None,None,None,73,181,.403,.403,45,56,.804,8,19,27,26,11,1,None,22,191
Dickerson,Henry,SG,24,DET,17,None,112,9,29,.310,None,None,None,9,29,.310,.310,10,16,.625,3,0,3,8,2,1,None,17,28
Dickey,Derrek,PF,24,GSW,79,None,1207,220,473,.465,None,None,None,220,473,.465,.465,62,79,.785,114,235,349,83,26,11,None,141,502
DiGregorio,Ernie,PG,25,BUF,67,None,1364,182,474,.384,None,None,None,182,474,.384,.384,86,94,.915,15,97,112,265,37,1,None,158,450
Drew,John,SF,21,ATL,77,None,2351,586,1168,.502,None,None,None,586,1168,.502,.502,488,656,.744,286,374,660,150,138,30,None,261,1660
Dudley,Charles,PG,25,GSW,82,None,1456,182,345,.528,None,None,None,182,345,.528,.528,157,245,.641,112,157,269,239,77,2,None,170,521
DuVal,Dennis,PG,23,ATL,13,None,130,15,43,.349,None,None,None,15,43,.349,.349,6,9,.667,1,7,8,20,6,2,None,15,36
Eberhard,Al,SF,23,DET,81,None,2066,283,683,.414,None,None,None,283,683,.414,.414,191,229,.834,139,251,390,83,87,15,None,250,757
Ellis,Leroy,C,35,PHI,29,None,489,61,132,.462,None,None,None,61,132,.462,.462,17,28,.607,47,75,122,21,16,9,None,62,139
Erickson,Keith,SF,31,PHO,74,None,1850,305,649,.470,None,None,None,305,649,.470,.470,134,157,.854,106,226,332,185,79,6,None,196,744
Fernsten,Eric,C,22,TOT,37,None,268,33,86,.384,None,None,None,33,86,.384,.384,26,37,.703,25,45,70,19,7,14,None,21,92
Fernsten,Eric,C,22,CLE,4,None,9,0,2,.000,None,None,None,0,2,.000,.000,0,0,None,0,1,1,0,0,0,None,1,0
Fernsten,Eric,C,22,CHI,33,None,259,33,84,.393,None,None,None,33,84,.393,.393,26,37,.703,25,44,69,19,7,14,None,20,92
Fogle,Larry,SG,22,NYK,2,None,14,1,5,.200,None,None,None,1,5,.200,.200,0,0,None,1,2,3,0,1,0,None,4,2
Ford,Chris,SG,27,DET,82,None,2198,301,707,.426,None,None,None,301,707,.426,.426,83,115,.722,80,211,291,272,178,24,None,222,685
Ford,Don,SF,23,LAL,76,None,1838,311,710,.438,None,None,None,311,710,.438,.438,104,139,.748,118,215,333,111,50,14,None,186,726
Fox,Jim,C,32,MIL,70,None,918,105,203,.517,None,None,None,105,203,.517,.517,62,79,.785,82,153,235,42,27,16,None,129,272
Frazier,Walt,PG,30,NYK,59,None,2427,470,969,.485,None,None,None,470,969,.485,.485,186,226,.823,79,321,400,351,106,9,None,163,1126
Free,World B.,SG,22,PHI,71,None,1121,239,533,.448,None,None,None,239,533,.448,.448,112,186,.602,64,61,125,104,37,6,None,107,590
Freeman,Donnie,SG,31,LAL,64,None,1480,263,606,.434,None,None,None,263,606,.434,.434,163,199,.819,72,108,180,171,57,11,None,160,689
Garrett,Rowland,SF,25,TOT,55,None,540,108,258,.419,None,None,None,108,258,.419,.419,53,65,.815,45,72,117,17,25,7,None,68,269
Garrett,Rowland,SF,25,CHI,14,None,324,57,131,.435,None,None,None,57,131,.435,.435,38,44,.864,27,48,75,7,8,4,None,32,152
Garrett,Rowland,SF,25,CLE,41,None,216,51,127,.402,None,None,None,51,127,.402,.402,15,21,.714,18,24,42,10,17,3,None,36,117
Gianelli,John,C,25,NYK,82,None,2332,325,687,.473,None,None,None,325,687,.473,.473,114,160,.713,187,365,552,115,25,62,None,194,764
Gibbs,Dick,SF,27,BUF,72,None,866,129,301,.429,None,None,None,129,301,.429,.429,77,93,.828,42,64,106,49,16,14,None,133,335
Gilliam,Herm,SG,29,SEA,81,None,1644,299,676,.442,None,None,None,299,676,.442,.442,90,116,.776,56,164,220,202,82,12,None,139,688
Goodrich,Gail,SG,32,LAL,75,None,2646,583,1321,.441,None,None,None,583,1321,.441,.441,293,346,.847,94,120,214,421,123,17,None,238,1459
Gray,Leonard,PF,24,SEA,66,None,2139,394,831,.474,None,None,None,394,831,.474,.474,126,169,.746,109,289,398,203,75,36,None,260,914
Grevey,Kevin,SF,22,WSB,56,None,504,79,213,.371,None,None,None,79,213,.371,.371,52,58,.897,24,36,60,27,13,3,None,65,210
Gross,Bob,SF,22,POR,76,None,1474,209,400,.523,None,None,None,209,400,.523,.523,97,142,.683,138,169,307,163,91,43,None,186,515
Guokas,Matt,SG,31,TOT,56,None,793,73,173,.422,None,None,None,73,173,.422,.422,18,27,.667,22,41,63,70,18,3,None,76,164
Guokas,Matt,SG,31,CHI,18,None,278,36,74,.486,None,None,None,36,74,.486,.486,9,11,.818,4,12,16,28,5,1,None,23,81
Guokas,Matt,SG,31,KCK,38,None,515,37,99,.374,None,None,None,37,99,.374,.374,9,16,.563,18,29,47,42,13,2,None,53,83
Hairston,Lindsay,SF,24,DET,47,None,651,104,228,.456,None,None,None,104,228,.456,.456,65,112,.580,65,114,179,21,21,32,None,84,273
Hansen,Glenn,SG,23,KCK,66,None,1145,173,420,.412,None,None,None,173,420,.412,.412,85,117,.726,77,110,187,67,47,13,None,144,431
Haskins,Clem,SG,32,WSB,55,None,737,148,269,.550,None,None,None,148,269,.550,.550,54,65,.831,12,42,54,73,23,8,None,79,350
Havlicek,John,SF,35,BOS,76,None,2598,504,1121,.450,None,None,None,504,1121,.450,.450,281,333,.844,116,198,314,278,97,29,None,204,1289
Hawes,Steve,C,25,TOT,72,None,1411,199,403,.494,None,None,None,199,403,.494,.494,87,120,.725,171,326,497,115,44,25,None,169,485
Hawes,Steve,C,25,HOU,6,None,51,5,13,.385,None,None,None,5,13,.385,.385,0,0,None,5,13,18,10,0,0,None,6,10
Hawes,Steve,C,25,POR,66,None,1360,194,390,.497,None,None,None,194,390,.497,.497,87,120,.725,166,313,479,105,44,25,None,163,475
Hawkins,Connie,PF,33,ATL,74,None,1907,237,530,.447,None,None,None,237,530,.447,.447,136,191,.712,102,343,445,212,80,46,None,172,610
Hawkins,Robert,SG,21,GSW,32,None,153,53,104,.510,None,None,None,53,104,.510,.510,20,31,.645,16,14,30,16,10,8,None,31,126
Hawthorne,Nate,SG,26,PHO,79,None,1144,182,423,.430,None,None,None,182,423,.430,.430,115,170,.676,86,123,209,46,33,15,None,147,479
Hayes,Elvin,PF,30,WSB,80,None,2975,649,1381,.470,None,None,None,649,1381,.470,.470,287,457,.628,210,668,878,121,104,202,None,293,1585
Haywood,Spencer,PF,26,NYK,78,None,2892,605,1360,.445,None,None,None,605,1360,.445,.445,339,448,.757,234,644,878,92,53,80,None,255,1549
Heard,Gar,PF,27,TOT,86,None,2747,392,901,.435,None,None,None,392,901,.435,.435,158,248,.637,247,622,869,190,117,96,None,303,942
Heard,Gar,PF,27,BUF,50,None,1527,207,492,.421,None,None,None,207,492,.421,.421,82,135,.607,138,373,511,126,66,55,None,183,496
Heard,Gar,PF,27,PHO,36,None,1220,185,409,.452,None,None,None,185,409,.452,.452,76,113,.673,109,249,358,64,51,41,None,120,446
Henderson,Tom,PG,24,ATL,81,None,2900,469,1136,.413,None,None,None,469,1136,.413,.413,216,305,.708,58,207,265,374,137,10,None,195,1154
Holland,Wilbur,SG,24,ATL,33,None,351,85,213,.399,None,None,None,85,213,.399,.399,22,34,.647,15,26,41,26,20,2,None,48,192
Hollins,Lionel,PG,22,POR,74,None,1891,311,738,.421,None,None,None,311,738,.421,.421,178,247,.721,39,136,175,306,131,28,None,235,800
Hudson,Lou,SG,31,ATL,81,None,2558,569,1205,.472,None,None,None,569,1205,.472,.472,237,291,.814,104,196,300,214,124,17,None,241,1375
Hummer,John,PF,27,SEA,29,None,364,32,67,.478,None,None,None,32,67,.478,.478,17,41,.415,21,56,77,25,6,9,None,71,81
Jackson,Phil,PF,30,NYK,80,None,1461,185,387,.478,None,None,None,185,387,.478,.478,110,150,.733,80,263,343,105,41,20,None,275,480
James,Aaron,SF,23,NOJ,75,None,1346,262,594,.441,None,None,None,262,594,.441,.441,153,204,.750,93,156,249,59,33,6,None,172,677
Johnson,Charles,PG,26,GSW,81,None,1549,342,732,.467,None,None,None,342,732,.467,.467,60,79,.759,77,125,202,122,100,7,None,178,744
Johnson,George,C,27,GSW,82,None,1745,165,341,.484,None,None,None,165,341,.484,.484,70,104,.673,200,427,627,82,51,174,None,275,400
Johnson,John,SF,28,TOT,76,None,1697,316,697,.453,None,None,None,316,697,.453,.453,120,155,.774,94,238,332,217,57,36,None,194,752
Johnson,John,SF,28,POR,9,None,212,41,88,.466,None,None,None,41,88,.466,.466,23,27,.852,13,27,40,20,7,8,None,31,105
Johnson,John,SF,28,HOU,67,None,1485,275,609,.452,None,None,None,275,609,.452,.452,97,128,.758,81,211,292,197,50,28,None,163,647
Johnson,Mickey,PF,23,CHI,81,None,2390,478,1033,.463,None,None,None,478,1033,.463,.463,283,360,.786,279,479,758,130,93,66,None,292,1239
Johnson,Ollie,SF,26,KCK,81,None,2150,348,678,.513,None,None,None,348,678,.513,.513,125,149,.839,116,241,357,146,67,42,None,217,821
Jones,Dwight,C,23,ATL,66,None,1762,251,542,.463,None,None,None,251,542,.463,.463,163,219,.744,171,353,524,83,52,61,None,214,665
Jones,Jimmy,PG,31,WSB,64,None,1133,153,308,.497,None,None,None,153,308,.497,.497,72,94,.766,32,99,131,120,33,5,None,127,378
Jones,Steve,SG,33,POR,64,None,819,168,380,.442,None,None,None,168,380,.442,.442,78,94,.830,13,62,75,63,17,6,None,96,414
Jones,Wali,PG,33,TOT,17,None,176,23,49,.469,None,None,None,23,49,.469,.469,9,13,.692,0,9,9,33,6,0,None,27,55
Jones,Wali,PG,33,DET,1,None,19,4,11,.364,None,None,None,4,11,.364,.364,0,0,None,0,0,0,2,2,0,None,2,8
Jones,Wali,PG,33,PHI,16,None,157,19,38,.500,None,None,None,19,38,.500,.500,9,13,.692,0,9,9,31,4,0,None,25,47
Kelley,Rich,C,22,NOJ,75,None,1346,184,379,.485,None,None,None,184,379,.485,.485,159,205,.776,193,335,528,155,52,60,None,209,527
Kosmalski,Len,C,24,KCK,9,None,93,8,20,.400,None,None,None,8,20,.400,.400,4,7,.571,9,16,25,12,3,4,None,11,20
Kozelko,Tom,PF,24,WSB,67,None,584,48,99,.485,None,None,None,48,99,.485,.485,19,30,.633,19,63,82,33,19,4,None,74,115
Kropp,Tom,SG,22,WSB,25,None,72,7,30,.233,None,None,None,7,30,.233,.233,5,6,.833,5,10,15,8,2,0,None,20,19
Kuberski,Steve,C-SF,28,TOT,70,None,967,135,291,.464,None,None,None,135,291,.464,.464,71,79,.899,90,169,259,47,12,13,None,133,341
Kuberski,Steve,SF,28,BUF,10,None,85,7,17,.412,None,None,None,7,17,.412,.412,3,3,1.000,4,21,25,3,1,2,None,10,17
Kuberski,Steve,C,28,BOS,60,None,882,128,274,.467,None,None,None,128,274,.467,.467,68,76,.895,86,148,234,44,11,11,None,123,324
Kunnert,Kevin,C,24,HOU,80,None,2335,465,954,.487,None,None,None,465,954,.487,.487,102,156,.654,267,520,787,155,57,105,None,315,1032
Kupec,C.J.,SF,23,LAL,16,None,55,10,40,.250,None,None,None,10,40,.250,.250,7,11,.636,4,19,23,5,3,0,None,7,27
Lacey,Sam,C,27,KCK,81,None,3083,409,1019,.401,None,None,None,409,1019,.401,.401,217,286,.759,218,806,1024,378,132,134,None,286,1035
Lambert,John,PF,23,CLE,54,None,333,49,110,.445,None,None,None,49,110,.445,.445,25,37,.676,37,65,102,16,8,12,None,54,123
Lanier,Bob,C,27,DET,64,None,2363,541,1017,.532,None,None,None,541,1017,.532,.532,284,370,.768,217,529,746,217,79,86,None,203,1366
Lantz,Stu,PG,29,LAL,53,None,853,85,204,.417,None,None,None,85,204,.417,.417,80,89,.899,28,71,99,76,27,3,None,105,250
Laskowski,John,SG,22,CHI,71,None,1570,284,690,.412,None,None,None,284,690,.412,.412,87,120,.725,52,167,219,55,56,10,None,90,655
Lee,Clyde,C,31,PHI,79,None,1421,123,282,.436,None,None,None,123,282,.436,.436,63,95,.663,164,289,453,59,23,27,None,188,309
Lee,Greg,PG,24,POR,5,None,35,2,4,.500,None,None,None,2,4,.500,.500,2,2,1.000,0,2,2,11,2,0,None,6,6
Love,Bob,SF,33,CHI,76,None,2823,543,1391,.390,None,None,None,543,1391,.390,.390,362,452,.801,191,319,510,145,63,10,None,233,1448
Lumpkin,Phil,PG,24,PHO,34,None,370,22,65,.338,None,None,None,22,65,.338,.338,26,30,.867,7,16,23,48,15,0,None,26,70
Maravich,Pete,SG,28,NOJ,62,None,2373,604,1316,.459,None,None,None,604,1316,.459,.459,396,488,.811,46,254,300,332,87,23,None,197,1604
Marin,Jack,SF,31,TOT,79,None,1909,343,812,.422,None,None,None,343,812,.422,.422,161,188,.856,69,183,252,141,45,11,None,164,847
Marin,Jack,SF,31,BUF,12,None,278,41,94,.436,None,None,None,41,94,.436,.436,27,33,.818,10,30,40,23,7,6,None,30,109
Marin,Jack,SF,31,CHI,67,None,1631,302,718,.421,None,None,None,302,718,.421,.421,134,155,.865,59,153,212,118,38,5,None,134,738
Martin,LaRue,C,25,POR,63,None,889,109,302,.361,None,None,None,109,302,.361,.361,57,77,.740,68,243,311,72,6,23,None,126,275
Mayes,Clyde,PF,22,MIL,65,None,948,114,248,.460,None,None,None,114,248,.460,.460,56,97,.577,97,166,263,37,9,42,None,154,284
Mayfield,Ken,SG,27,NYK,13,None,64,17,46,.370,None,None,None,17,46,.370,.370,3,3,1.000,1,7,8,4,0,0,None,18,37
McAdoo,Bob,C,24,BUF,78,None,3328,934,1918,.487,None,None,None,934,1918,.487,.487,559,734,.762,241,724,965,315,93,160,None,298,2427
McDaniels,Jim,C,27,LAL,35,None,242,41,102,.402,None,None,None,41,102,.402,.402,9,9,1.000,26,48,74,15,4,10,None,40,91
McDonald,Glenn,SF,23,BOS,75,None,1019,191,456,.419,None,None,None,191,456,.419,.419,40,56,.714,56,79,135,68,39,20,None,123,422
McElroy,Jim,PG,22,NOJ,51,None,1134,151,296,.510,None,None,None,151,296,.510,.510,81,110,.736,34,76,110,107,44,4,None,70,383
McGinnis,George,PF,25,PHI,77,None,2946,647,1552,.417,None,None,None,647,1552,.417,.417,475,642,.740,260,707,967,359,198,41,None,334,1769
McGlocklin,Jon,SG,32,MIL,33,None,336,63,148,.426,None,None,None,63,148,.426,.426,9,10,.900,3,14,17,38,8,0,None,18,135
McMillen,Tom,C,23,BUF,50,None,708,96,222,.432,None,None,None,96,222,.432,.432,41,54,.759,64,122,186,69,7,6,None,87,233
McMillian,Jim,SF,27,BUF,74,None,2610,492,918,.536,None,None,None,492,918,.536,.536,188,219,.858,134,256,390,205,88,14,None,141,1172
McNeill,Larry,PF,25,KCK,82,None,1613,295,610,.484,None,None,None,295,610,.484,.484,207,273,.758,157,353,510,72,51,32,None,244,797
Meely,Cliff,PF,28,TOT,34,None,313,52,132,.394,None,None,None,52,132,.394,.394,33,48,.688,22,75,97,19,14,8,None,61,137
Meely,Cliff,PF,28,HOU,14,None,174,32,81,.395,None,None,None,32,81,.395,.395,9,16,.563,12,40,52,10,9,4,None,31,73
Meely,Cliff,PF,28,LAL,20,None,139,20,51,.392,None,None,None,20,51,.392,.392,24,32,.750,10,35,45,9,5,4,None,30,64
Meminger,Dean,SG,27,ATL,68,None,1418,155,379,.409,None,None,None,155,379,.409,.409,100,152,.658,65,86,151,222,54,8,None,116,410
Mengelt,John,SG,26,DET,67,None,1105,264,540,.489,None,None,None,264,540,.489,.489,192,237,.810,27,88,115,108,40,5,None,138,720
Meriweather,Joe,C,22,HOU,81,None,2042,338,684,.494,None,None,None,338,684,.494,.494,154,239,.644,163,353,516,82,36,120,None,219,830
Meyers,Dave,PF,22,MIL,72,None,1589,198,472,.419,None,None,None,198,472,.419,.419,135,210,.643,121,324,445,100,72,25,None,145,531
Mix,Steve,SF,28,PHI,81,None,3039,421,844,.499,None,None,None,421,844,.499,.499,287,351,.818,215,447,662,216,158,29,None,288,1129
Money,Eric,PG,20,DET,80,None,2267,449,947,.474,None,None,None,449,947,.474,.474,145,180,.806,77,130,207,338,137,11,None,243,1043
Monroe,Earl,SG,31,NYK,76,None,2889,647,1354,.478,None,None,None,647,1354,.478,.478,280,356,.787,48,225,273,304,111,22,None,209,1574
Moore,Otto,C,29,NOJ,81,None,2407,293,672,.436,None,None,None,293,672,.436,.436,144,226,.637,162,631,793,216,85,136,None,250,730
Mullins,Jeff,SG,33,GSW,29,None,311,58,120,.483,None,None,None,58,120,.483,.483,23,29,.793,12,20,32,39,14,1,None,36,139
Murphy,Calvin,PG,27,HOU,82,None,2995,675,1369,.493,None,None,None,675,1369,.493,.493,372,410,.907,52,157,209,596,151,6,None,294,1722
Neal,Lloyd,PF,25,POR,68,None,2320,435,904,.481,None,None,None,435,904,.481,.481,186,268,.694,145,440,585,118,53,107,None,254,1056
Nelson,Don,SF,35,BOS,75,None,943,175,379,.462,None,None,None,175,379,.462,.462,127,161,.789,56,126,182,77,14,7,None,115,477
Nelson,Louie,SG,24,NOJ,66,None,2030,327,755,.433,None,None,None,327,755,.433,.433,169,230,.735,81,121,202,169,82,6,None,147,823
Newlin,Mike,SG,27,HOU,82,None,3065,569,1123,.507,None,None,None,569,1123,.507,.507,385,445,.865,72,264,336,457,106,5,None,263,1523
Norman,Connie,SG,22,PHI,65,None,818,183,422,.434,None,None,None,183,422,.434,.434,20,24,.833,51,50,101,66,28,7,None,87,386
Norwood,Willie,SF,28,SEA,64,None,1004,146,301,.485,None,None,None,146,301,.485,.485,152,203,.749,91,138,229,59,42,4,None,139,444
Oleynick,Frank,SG,20,SEA,52,None,650,127,316,.402,None,None,None,127,316,.402,.402,53,77,.688,10,35,45,53,21,6,None,62,307
Patterson,Steve,C,27,TOT,66,None,918,84,220,.382,None,None,None,84,220,.382,.382,34,54,.630,80,148,228,80,16,16,None,93,202
Patterson,Steve,C,27,CLE,14,None,136,15,38,.395,None,None,None,15,38,.395,.395,8,10,.800,7,21,28,9,3,5,None,11,38
